# BEGIN PLOT
DrawOnly=/REF/CMS_2013_I1273574/d08-x01-y01 /ctest/mY_2100_mX_1600/mY_2100_mX_1600.yoda/CMS_2013_I1273574/d08-x01-y01 /THY/CMS_2013_I1273574/d08-x01-y01
Title=CMS, $\sqrt{s}$ = 7 TeV, Subleading soft jet $\eta$ in pp$\rightarrow$ 4j in $|\eta|<4.7$
RatioPlotReference=/REF/CMS_2013_I1273574/d08-x01-y01
RatioPlot=1
LogY=1
LegendXPos=0.2
XLabel=$\eta$
MainPlot=1
YLabel=$d\sigma/d\eta\; [\text{pb}/rad]$
LegendYPos=0.4
Legend=1
RatioPlotYMin=1
FullRange=1
# END PLOT

# BEGIN HISTO1D /REF/CMS_2013_I1273574/d08-x01-y01
IsRef=1
LineColor=green
Path=/REF/CMS_2013_I1273574/d08-x01-y01
Title=~
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906546e+03	2.079999e+03	2.079999e+03
-4.000000e+00	-3.000000e+00	1.540673e+04	2.725180e+03	2.725180e+03
-3.000000e+00	-2.500000e+00	2.567124e+04	2.320969e+03	2.320969e+03
-2.500000e+00	-2.000000e+00	3.626039e+04	5.199460e+03	5.199460e+03
-2.000000e+00	-1.500000e+00	4.706273e+04	6.312261e+03	6.312261e+03
-1.500000e+00	-1.000000e+00	5.412160e+04	7.326021e+03	7.326021e+03
-1.000000e+00	-5.000000e-01	5.827967e+04	8.039081e+03	8.039081e+03
-5.000000e-01	0.000000e+00	6.345854e+04	8.885661e+03	8.885661e+03
0.000000e+00	5.000000e-01	6.012266e+04	8.181578e+03	8.181578e+03
5.000000e-01	1.000000e+00	5.832044e+04	7.948164e+03	7.948164e+03
1.000000e+00	1.500000e+00	5.504011e+04	6.899245e+03	6.899245e+03
1.500000e+00	2.000000e+00	4.856218e+04	6.505944e+03	6.505944e+03
2.000000e+00	2.500000e+00	3.884799e+04	5.295198e+03	5.295198e+03
2.500000e+00	3.000000e+00	2.630974e+04	1.462954e+03	1.462954e+03
3.000000e+00	4.000000e+00	1.592102e+04	2.427355e+03	2.427355e+03
4.000000e+00	4.700000e+00	7.130328e+03	2.147394e+03	2.147394e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /REF/CMS_2013_I1273574/d08-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/REF/CMS_2013_I1273574/d08-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906546e+03	2.079999e+03	2.079999e+03
-4.000000e+00	-3.000000e+00	1.540673e+04	2.725180e+03	2.725180e+03
-3.000000e+00	-2.500000e+00	2.567124e+04	2.320969e+03	2.320969e+03
-2.500000e+00	-2.000000e+00	3.626039e+04	5.199460e+03	5.199460e+03
-2.000000e+00	-1.500000e+00	4.706273e+04	6.312261e+03	6.312261e+03
-1.500000e+00	-1.000000e+00	5.412160e+04	7.326021e+03	7.326021e+03
-1.000000e+00	-5.000000e-01	5.827967e+04	8.039081e+03	8.039081e+03
-5.000000e-01	0.000000e+00	6.345854e+04	8.885661e+03	8.885661e+03
0.000000e+00	5.000000e-01	6.012266e+04	8.181578e+03	8.181578e+03
5.000000e-01	1.000000e+00	5.832044e+04	7.948164e+03	7.948164e+03
1.000000e+00	1.500000e+00	5.504011e+04	6.899245e+03	6.899245e+03
1.500000e+00	2.000000e+00	4.856218e+04	6.505944e+03	6.505944e+03
2.000000e+00	2.500000e+00	3.884799e+04	5.295198e+03	5.295198e+03
2.500000e+00	3.000000e+00	2.630974e+04	1.462954e+03	1.462954e+03
3.000000e+00	4.000000e+00	1.592102e+04	2.427355e+03	2.427355e+03
4.000000e+00	4.700000e+00	7.130328e+03	2.147394e+03	2.147394e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D /ctest/mY_2100_mX_1600/mY_2100_mX_1600.yoda/CMS_2013_I1273574/d08-x01-y01
LineColor=red
Path=/ctest/mY_2100_mX_1600/mY_2100_mX_1600.yoda/CMS_2013_I1273574/d08-x01-y01
Title=[9]  0.00
# xlow	 xhigh	 val	 errminus	 errplus
-6.000000e+00	-4.700000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-4.700000e+00	-4.000000e+00	6.906546e+03	2.079999e+03	2.079999e+03
-4.000000e+00	-3.000000e+00	1.540673e+04	2.725180e+03	2.725180e+03
-3.000000e+00	-2.500000e+00	2.567124e+04	2.320969e+03	2.320969e+03
-2.500000e+00	-2.000000e+00	3.626040e+04	5.199461e+03	5.199461e+03
-2.000000e+00	-1.500000e+00	4.706274e+04	6.312262e+03	6.312262e+03
-1.500000e+00	-1.000000e+00	5.412162e+04	7.326022e+03	7.326022e+03
-1.000000e+00	-5.000000e-01	5.827969e+04	8.039082e+03	8.039082e+03
-5.000000e-01	0.000000e+00	6.345857e+04	8.885662e+03	8.885662e+03
0.000000e+00	5.000000e-01	6.012269e+04	8.181579e+03	8.181579e+03
5.000000e-01	1.000000e+00	5.832046e+04	7.948165e+03	7.948165e+03
1.000000e+00	1.500000e+00	5.504013e+04	6.899246e+03	6.899246e+03
1.500000e+00	2.000000e+00	4.856219e+04	6.505945e+03	6.505945e+03
2.000000e+00	2.500000e+00	3.884800e+04	5.295199e+03	5.295199e+03
2.500000e+00	3.000000e+00	2.630975e+04	1.462955e+03	1.462955e+03
3.000000e+00	4.000000e+00	1.592102e+04	2.427355e+03	2.427355e+03
4.000000e+00	4.700000e+00	7.130328e+03	2.147394e+03	2.147394e+03
4.700000e+00	6.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

